Business Name,Website,Phone Number,Rating,Reviews,Category,Address
"Naya Medical Centre مركز نايا الطبي , DENTAL , INVISALIGN , DERMATOLOGY and LASER",http://www.naya-mc.com/,+968 7111 4466,4.9,112,Medical Center,"Naya Medical Centre, 18th November St, Muscat 130, Oman"
Metro Premier Medical Centre | مرکز مترو الرائد الطبی,https://www.metrohospitaloman.com/,+968 7201 1000,4.3,230,Medical Center,"Metro Premier Medical Centre, Road No.53, 6 Al Khoudh St, Seeb 150, Oman"
Kashan Medical Center - Alghoubra,No Website,+968 24 495909,4.4,96,Medical clinic,"al ilmi school، Alghoubra North\ In front of Altajheez, Al Safat St, Muscat, Oman"
🏥Ghala Clinic & Pharmacy Al Ghubrah عيادة وصيدلة غلا,https://ghalamedicalclinic.com/,+968 24 614272,4.5,43,Medical Center,"Opposite Indian School, Al Ghubra, Al Dhayafa St, 111, Oman"
Medical care centre,http://cosmosmedicalcenter.com/,+968 9788 4856,3.9,29,Medical clinic,"AlBinood Street, 3, Seeb, Oman"
The Blue Medical Centre,No Website,+968 24 553330,3.1,28,Medical Center,Muscat، Oman
Clinicare Medical Center,No Website,+968 24 299076,4.8,20,Medical Center,"3534 South Khuwair Street, Muscat 111, Oman"
Advanced Medical Center المركز الطبي الايراني,http://amc-muscat.com/,+968 9257 0007,4.1,557,Hospital,"Qurum Hills, Street 7, Muscat, Oman"
"KIMSHEALTH Medical Center, Al Khuwair مركز كيمزهيلث الطبي- الخوير",https://www.kimshealth.om/about-us/al-khuwair/,+968 24 760366,3.7,146,Medical Center,"Al Khuwair، Al Maqsoora Building, Building No 862 Way No 4509, PC : 133, Al Kuleiah St, Muscat, Oman"
Grand Medical Care - Gynecology- Drive Thru Blood Test-PCR-Dental- Dermatology-General Medicine- غراند للرعاية الطبية,https://grandmedicalcare.com/,+968 7177 3333,4.8,146,Dermatologist,"3032 Way, Muscat, Oman"
"عيادات آراك الطبية فرع بوشر Arak Medical Clinics, Bausher Branch",https://www.instagram.com/arakmedicalclinics/,+968 9074 2244,4.2,694,Specialized clinic,"شارع ٢٢, Muscat, Oman"
Sobeh's Medical Center,http://www.sobehmc.com/,+98 24545137,4.6,21,Medical Center,"2nd Floor, The Walk Al Mouj Muscat Seeb OM, 138, Oman"
WELLNESS MEDICAL CENTRE | Visa Medical | Gynecology & Obstetrics | Dental | Wadi Kabir | Muscat,http://www.wmc.om/,+968 9320 2523,4.2,46,Medical Center,"4814 Way, Muscat, Oman"
Al Amal Medical & Health care Centre مركز الامل للرعاية الصحية والطبية | Visa Medical Centre,http://www.alamalhealthcare.com/,+968 9320 5023,3.5,69,Medical Center,"Al Alam St, Muscat, Oman"
Mercy Clinic,http://www.instagram.com/mercyclinic10,+968 22 048664,4.9,58,Family practice physician,"H9V8+MFJ, 1858 48 Way, Muscat, Oman"
Brush Dental Centre,No Website,+968 7847 4101,4.9,286,Dental clinic,"Al Gadheer St, Muscat 112, Oman"
Royal Medical Centre مركز رويال الطبي,http://www.rmcoman.com/,+968 24 951651,4.0,6,Private hospital,"VILLA NO 1055, WAY NO 3013, BEHIND AL SAROOJ, Muscat 131, Oman"
Al Harub Medical Centre مركز الحارب الطبي,http://alharubmedical.com/,+968 24 600750,4.1,57,Private hospital,"Road Sarooj House 2264، Way, 2830 Al Kharjiyah St, Muscat, Oman"
"AFAQ Visa Medical - Al Ghubra, Muscat. مركز فحص العمالة الوافدة",http://afaq.om/,+968 9724 3015,5.0,525,Hospital,"Tanuf Building, Al Marafah St, Muscat 117, Oman"
Medstar Clinic Al Ghubra,No Website,+968 7173 8919,2.9,25,Medical clinic,"Al Ghubrah Near Al Ghubrah Roundabout Opposite to Makkah Hypermarket، 133, Oman"
Burjeel Medical Centre,http://www.bmcoman.com/,+968 24 399777,3.7,401,Medical Center,"Way No. 270, Building No. 136، 144 Sultan Qaboos St, Muscat, Oman"
مركز الريم الطبي AlReem Medical Center,https://www.alreemmedicalcenter.com/,+968 24 648181,4.3,142,Fertility clinic,"Muscat Expressway، pare 12, Building #27, 3rd floor - Suite #304, Qurum, Muscat, Oman"
Hala Medical Center | Visa Medical | General Practitioner | Pediatrician | Dental Clinic | Specialist Orthopedics,No Website,+968 24 857744,4.2,184,Medical Center,"4815 Way, Muscat, Oman"
Dar Al Shifa Muscat Specialized Polyclinic,No Website,+968 24 128182,4.6,28,Walk-in clinic,"Al Marafah St, Muscat, Oman"
AL MUZN OASIS MEDICAL CENTER,http://www.almuznoasis.com/,+968 22 070941,4.3,132,Medical Center,"1 Muscat OM OM OM, 900, Oman"
Juva Medical Center,http://www.juvaclinic.com/,+968 9572 3000,4.9,45,Medical Center,"Al Shati St, Muscat 113, Oman"
"Coimbatore Ayurvedic Centre | Ghubrah | Ayurvedic Treatment & Massage Therapy in Muscat,Oman. مركز كويمباتور للطب الهندي التقليدي | الغبرة | عيادة للمساج والعلاج في مسقط ، عمان",http://www.coimbatoreayurvediccentre.com/,+968 24 490102,4.8,137,Medical clinic,"18th November St, Muscat, Oman"
Hayaan Medical Center,No Website,+968 9852 3850,3.0,2,Medical clinic,"Muscat 111, Oman"
GABA CLINIC جابا كلينيك,http://www.gabaclinic.com/,+968 9578 7171,4.8,642,Medical Center,"muscat Al, Seeb, Oman"
Lifeline Medical Centre - VISA Medical Section,No Website,+968 9817 5737,3.8,68,Hospital,"Muscat, Oman"
NOOR IRANIAN POLYCLINIC - MUSCAT,http://www.noorvision.om/,+968 9469 2929,3.8,106,Medical clinic,"Madinat Sultan Qaboos, Villa, 2540 1947 Way, Muscat, Oman"
Al Sawaqam Clinic,No Website,+968 24 814359,4.2,11,Medical clinic,"HHM6+HQ8, Muscat, Oman"
El Shola Polyclinic,No Website,+968 24 706540,3.9,23,Medical clinic,"Bait Al Falaj St, Muscat 112, Oman"
"Swasthya Chetna Lama Polyclinic, Al Khuwair, Muscat",No Website,+968 9285 6603,N/A,N/A,Medical Center,"Ground Floor, Al Nahda Towers, Near Safeer International Hotel, Al Khuwair, Muscat, Sultanate of Oman, Phone: 24478818, Email: admin@swasthyachetna.com, Al Khuwayral Al Janubyyah St, Muscat, Oman"
Bombay Medical & Diagnostic Centre مركز بومباي الطبي و التشخيصي,No Website,+968 24 798383 ext. 24795252,3.9,23,Hospital,"Muscat, Oman"
Biruni Medical Center - مركز البيروني الطبي,http://birunimedicalcenter.com/,+968 7272 7232,4.3,62,Medical Center,"Way number 403, Block number 205 next to Muscat international School, 133, Oman"
Al Maha Polyclinic,No Website,+968 24 505052,3.7,43,Hospital,"Near 360 Restaurant, Muscat, Oman"
"Coimbatore Ayurvedic Centre | Ruwi | Ayurveda Massage Therapy & Treatments in Muscat, Oman. مركز كويمباتور للطب الهندي التقليدي | روي | عيادة للمساج والعلاج في مسقط ، عمان",http://www.coimbatoreayurvediccentre.com/,+968 24 787629,4.6,40,Medical clinic,"Ruwi St, Muscat, Oman"
Fusion Medicare Polyclinic - GP Laboratory الإندماج للعناية الطبية,No Website,+968 9769 8004,4.6,48,Hospital,"Ground floor, Al Mamour Building, Building No. 1542 Way, 319 Grand Mosque St, 130, Oman"
المركز السويدي فرع الخوض Swedish Center,https://swedishcenteroman.com/,+968 7111 2296,3.7,42,Medical Center,"43, Al Khoudh St, Muscat 115, Oman"
Sagar Polyclinic مجمع صاغر الطبي,http://www.avicen.om/,+968 24 393600,3.5,129,Medical Center,"HCVM+RVV, 3938 3938 Way, Muscat, Oman"
Pulse Healthcare Speciality Medical Clinic and Visa Medical Center,No Website,+968 9179 3457,4.3,13,Medical Center,"No. 21, Al Khuwair Square, Souk Al Khuwair St, Muscat 112, Oman"
Diamond Medical Clinics,No Website,+968 7277 7928,4.5,257,Medical Center,"Muscat 119, Oman"
PDO Medical Center MAF,http://www.pdo.co.om/,+968 24 377439,4.7,25,Medical clinic,"JGC9+PWR, Muscat, Oman"
STARCARE Speciality Center,https://starcare.om/,+968 7177 3222,4.7,295,Surgical center,"Sultan Qaboos Street Seeb, Muscat 104, Oman"
Darsait Visa Medical Clinic,No Website,+968 24 786360,3.8,13,Medical clinic,"JG7X+R5F, 2621 Way, Muscat, Oman"
Healthy Life Clinic عيادة الحياه الصحية,No Website,+968 24 131307,4.2,6,Medical clinic,"Muscat, Oman"
Elixir Medical Center Muscat:مجمع اكسير الطبي مسقط,http://elixirom.com/,+968 7999 9832,N/A,N/A,Medical Center,"18th November St, Muscat 311, Oman"
ORCHID CLINIC - أوركيد كلينيك,No Website,+968 9111 6556,4.6,10,Medical clinic,"18th November St, Muscat, Oman"
Shatti Al Qurum Medical Center,http://www.shattialqurummedicalcenter.com/,+968 9365 5425,4.4,49,Orthodontist,"2214 central office, As Saruj St, Muscat 111, Oman"
EMC Skin Clinic Oman - EMC Muscat - Dermatology - Dentistry,No Website,+968 24 604540,4.7,"1,376",Skin care clinic,"Sultan Qaboos Street Qurum - Al Sarooj Plaza Mina Al Fahhal، 487, Oman"
Viva MedCare Polyclinic - مجمع ڤيڤاميدكير الطبي,No Website,+968 22 060002,4.3,24,Community health center,"Al Rawdha Street, Seeb, Oman"
Apollo Hospital Muscat LLC,http://www.apollohospitalmuscat.com/,+968 24 787766,3.8,335,Hospital,"Muscat 131, Oman"
Health Time Clinic,No Website,+968 24 446292,N/A,N/A,Medical clinic,"Oman, muscat, Seeb, Alkhod 2, Oman"
Iranian Medical Centre,No Website,+968 9571 7211,3.2,18,Medical clinic,"H9XM+H3H, 18th November St, Muscat 130, Oman"
VIP Beauty Clinics,http://www.vipclinics-om.com/,+968 9325 1234,4.1,30,Medical clinic,"Al Muntazah St, Muscat 113, Oman"
Mina Iranian Clinic عيادة مينا الايراني,No Website,+968 7241 4000,4.6,84,Medical clinic,"WAY 2108, Muscat 112, Oman"
Qurum Medical Centre | Dental and Osteopath Clinic,http://www.qurummedicalcentre.com/,+968 24 692898,4.9,25,Medical Center,"JF5C+8PQ, Al Ilam St, Muscat, Oman"
مجمع البشرى للتخصصات الطبية Al-Bushra Medical Specialty Complex,https://sfc-oman.com/,+968 24 496419,4.6,284,Fertility clinic,"280 MUSCAT OM، 133, Oman"
