Business Name,Website,Phone Number,Rating,Reviews,Category,Address
GIA,http://www.instagram.com/gia.dubai,+971 4 234 9986,4.8,"9,563",Italian restaurant,Unit GF - 320 New Fashion Avenue - Dubai Mall - Financial Ctr St - Dubai - United Arab Emirates
Social House,https://weareanother.me/brands/social-house,+971 52 972 5541,4.9,"15,997",Restaurant,level LG - Unit LG - 100 - B - Financial Ctr St - Burj Khalifa - Dubai Mall - Dubai - United Arab Emirates
Carluccio's - Italian Restaurant in Dubai Mall,http://www.carlucciosme.com/,+971 4 330 5990,4.7,"7,265",Italian restaurant,"Dubai Mall, Lower Ground Floor - Financial Ctr St - Downtown Dubai - Dubai - United Arab Emirates"
Maison De Curry | Restaurant with the best views of Burj Khalifa & Dubai Fountains,https://maisondecurry.com/,+971 52 406 6183,4.8,"4,903",Restaurant,Souk Al Bahar - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Asador de Aranda,https://wa.me/971502333492?text=Hello%2C%20I%27d%20like%20to%20book%20a%20table,+971 4 547 6444,4.8,"2,849",Spanish restaurant,The Address Downtown Burj Dubai - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Couqley French Brasserie Downtown Dubai,http://www.couqley.ae/,+971 4 514 9339,4.8,"1,433",Restaurant,Marasi Dr - Business Bay - Dubai - United Arab Emirates
Grand ZOR - Fairmont The Palm - Uzbek Fusion Restaurant,https://grand-zor-fairmont.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,+971 52 184 9443,4.8,"3,316",Uzbeki restaurant,Fairmont - Nakhlat Jumeira - Dubai - United Arab Emirates
Swiss Butter - Sofitel Downtown,https://swissbutter.com/,+971 4 358 1213,4.7,"2,871",Steak house,Sofitel Downtown - Sheikh Zayed Rd - Burj Khalifa - Dubai - United Arab Emirates
Sardina Seafood Restaurant,https://sardina.ae/,+971 4 339 0444,4.9,"4,994",Seafood restaurant,"Opposite Jumeirah Beach Resort - The Mall, 1st Floor - Jumeira St - Umm Suqeim 3 - Dubai - United Arab Emirates"
BASTA!,https://www.basta-dubai.com/,+971 4 512 5522,4.5,"1,133",Italian restaurant,"The St. Regis Downtown, Dubai - Marasi Dr - Business Bay - Dubai - United Arab Emirates"
Icarus Restaurant Dubai,https://www.sevenrooms.com/explore/icarus/reservations/create/search,+971 58 280 7801,4.9,"4,105",Mediterranean restaurant,"Souk Al Bahar, Level 2 - Dubai Mall - Dubai - United Arab Emirates"
"The MAINE Land Brasserie Restaurant, Business Bay Dubai",https://themaine.ae/landbrasserie,+971 4 577 6680,4.8,"1,795",Restaurant,The Opus by Omniyat - Ground Floor - Al A'amal St - Dubai - United Arab Emirates
MayaBay Dubai,https://www.mayabayrestaurant.com/dubai,+971 4 275 2500,4.6,701,Asian restaurant,Jumeirah Al Naseem - Dubai - United Arab Emirates
Krasota Dubai Restaurant,https://bit.ly/krasota_reservation,+971 4 433 1258,4.9,"1,379",Restaurant,The Address Downtown - G Floor Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Parker's,https://byparkers.com/social-media-uae/,+971 600 555551,4.7,"6,687",Restaurant,Dubai Mall - Burj Khalifa - Dubai - United Arab Emirates
Mimi Kakushi,https://mimikakushi.ae/,+971 4 379 4811,4.5,916,Japanese restaurant,Four Seasons Resort - 23A St - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates
Hurricane’s Grill Dubai Mall,https://hurricanesgrill.ae/,+971 4 283 1339,4.8,"18,062",Steak house,The Dubai Mall - Lower Ground - Shop 205 - Financial Ctr St - Dubai - United Arab Emirates
Two Bistro,No Website,+971 52 415 7606,4.8,"8,856",Restaurant,Unit FF - 299 - A - Financial Ctr St - Burj Khalifa - Dubai - United Arab Emirates
Babel Dubai,https://www.babelrestaurant.com/,+971 4 431 2333,4.6,"5,086",Lebanese restaurant,The Dubai Mall - Fashion Avenue - 1st Floor Financial Ctr St - Burj Khalifa - Dubai - United Arab Emirates
"The Tap House, Downtown",http://thetaphouse.ae/,+971 4 425 0009,4.8,"2,288",Gastropub,Souk Al Bahar - Burj Khalifa - Dubai - United Arab Emirates
Doors Dubai,https://www.doorsdubai.com/dubaimall,+971 4 519 6000,4.9,"7,236",Restaurant,The Dubai Mall Fashion Avenue Expansion Level 4 - Dubai - United Arab Emirates
CÉ LA VI,https://dxb.celavi.com/,+971 4 582 6111,4.5,"7,275",Restaurant,"Tower 2 - Level 54, Address Sky View Hotel - Sheikh Mohammed bin Rashid Blvd - Dubai - United Arab Emirates"
Tribes Dubai Mall,https://www.tribesrestaurant.com/location/dubai-the-dubai-mall/,+971 4 226 4974,4.7,"4,190",African restaurant,"Level 2, Star Atrium, above apple store, The Dubai Mall - Dubai - United Arab Emirates"
NAZCAA,http://nazcaa.com/,+971 4 542 4200,4.7,"1,313",Restaurant,Address Dubai Mall Hotel - Level 12 - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Amaya Best Shisha In Dubai,https://amayaintl.com/,+971 4 587 1000,4.9,"3,920",Hookah bar,"The Waterfalls Side, Dubai Mall - 1st Floor - Burj Khalifa - Dubai - United Arab Emirates"
Somewhere Dubai Mall,https://letustakeyousomewhere.com/social-media-uae,+971 600 555551,4.8,"12,735",Restaurant,"Unit FF - 305 Level 1 New Extension, The Dubai Mall - Downtown Dubai - Dubai - United Arab Emirates"
Bosporus Turkish Cuisine - The Dubai Mall,https://thebosporus.com/,+971 4 380 8090,4.9,"15,582",Turkish restaurant,The Dubai Mall Waterfront Entrance - 115 B - Burj Khalifa - Dubai - United Arab Emirates
Lalezar Restaurant and Cafe,http://www.lalezardubai.com/,+971 56 537 9499,4.8,"1,172",Turkish restaurant,Clarens Tower 2 - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Fujiya Downtown - Authentic Japanese Restaurant Dubai,http://fujiya.ae/,+971 4 547 7171,4.8,"2,375",Authentic Japanese restaurant,Swiss Hotel - Al Mustaqbal St - near to Double Decker Pub - Trade Center Second - Dubai - United Arab Emirates
Table Otto - Dubai Mall,https://www.instagram.com/tableotto.ae/?hl=en,+971 4 266 8169,4.8,"1,336",Restaurant,"Fashion Avenue, Dubai Mall - Dubai - United Arab Emirates"
مطعم سرجون دبي Sargon Restaurant Dubai,http://www.instagram.com/sargon.ae,+971 52 276 3941,4.4,"1,618",Restaurant,Yansoon 9 - Emaar Blvd - opposite to Address Downtown Hotel - Burj Khalifa - Yansoon - Dubai - United Arab Emirates
Reef and Beef Steakhouse & Seafood Dubai,https://reefandbeef.ae/,+971 52 233 8473,4.8,"1,379",Restaurant,The Heritage Hotel - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
La Brasserie Sur Le Boulevard,https://www.kempinski.com/en/the-boulevard-dubai/restaurants-bars/la-brasserie-sur-le-boulevard,+971 52 656 5462,4.6,263,Restaurant,"La Brasserie Sur, Le Boulevard - Level 3 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates"
The Restaurant at Address Sky View,https://www.addresshotels.com/en/restaurant/the-restaurant-at-address-sky-view/,+971 4 873 8888,4.7,"1,241",Restaurant,"Level 2, The Address Sky View - Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Dubai - United Arab Emirates"
GAL Dubai,http://www.galrestaurants.com/,+971 4 589 7883,4.5,"3,774",Restaurant,The Address Downtown - G Floor Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
FRNDS Restaurant,https://frndsdubai.com/,+971 4 564 2399,4.7,"1,080",Restaurant,Dubai Dubai Mall - Ground Floor - Burj Khalifa - Dubai - United Arab Emirates
Kanpai Restaurant & Lounge,http://kanpaime.com/,+971 4 441 9262,4.7,"2,307",Japanese restaurant,"Souk Al Bahar - Shop No.G-5, Level 3 - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates"
Atmosphere Burj Khalifa,http://atmosphereburjkhalifa.com/,+971 4 888 3828,4.5,"4,385",Restaurant,57XF+J8R Burj khalifa - 122nd Floor - Downtown Dubai - Dubai - United Arab Emirates
Romeo Lane Dubai,https://romeolanedubai.com/,+971 50 307 6961,4.9,494,Restaurant,Pullman Hotel Dubai - Floor 2 - Marasi Dr - Business Bay - Dubai - United Arab Emirates
Alba Restaurant Dubai,https://alba.metafoodiesgroup.com/,+971 58 147 9888,4.8,441,Japanese restaurant,Dubai Opera Plaza - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Jovee - Japanese & European Restaurant,https://www.joveedubai.com/,+971 50 786 8343,4.8,"2,606",Restaurant,"souk al bahar , Level 2 - Dubai - United Arab Emirates"
"Arabeska Restaurant - Souk al Bahar, Dubai Mall - Burj Khalifa View",http://www.arabeskarestaurant.com/,+971 52 452 4783,4.7,"2,970",Restaurant,Downtown Dubai - Dubai - United Arab Emirates
Karam Beirut,No Website,+971 4 339 9789,4.6,"6,801",Lebanese restaurant,"Financial Center Street, Along Sheikh Zayed Road, Next to Burj Khalifa - Dubai The Dubai Mall - Financial Ctr St - Dubai - United Arab Emirates"
Ristorante Loren,https://www.lorenristorantedubai.com/,+971 4 557 8293,4.6,542,Italian restaurant,The Club - West Palm - Nakhlat Jumeira - Jumeirah - Dubai - United Arab Emirates
Zou Zou Turkish & Lebanese Restaurant Dubai Mall,https://bamenus.com/zouzou,+971 4 394 6394,4.5,"3,639",Turkish restaurant,Downtown Dubai - Dubai - United Arab Emirates
Urla Restaurant & Lounge,https://www.urlarestaurant.com/,+971 52 554 5997,4.6,"2,770",Restaurant,"Address Downtown Hotel, Lobby Level - Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Dubai - United Arab Emirates"
Belcanto Restaurant at Dubai Opera,http://www.belcantorestaurant.com/,+971 4 456 0936,4.7,"1,589",Italian restaurant,Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
